Concurrency,Req/sec
1,1052.091488275303
2,1309.5791844887744
3,1423.939635860644
4,1487.3449873123245
5,1526.818646737571
6,1553.1516806300795
7,1571.499455371488
8,1584.6358100305138
9,1594.185834829676
10,1601.164725476692
11,1606.2393347485054
12,1609.8657580623556
13,1612.366482564974
14,1613.975959131439
15,1614.8687129207608
16,1615.177329584809
17,1615.00433036214
18,1614.4302286429368
19,1613.5191276592825
20,1612.3226924468017
21,1610.8830214944064
22,1609.2347579965
23,1607.406665685078
24,1605.4228212313817
25,1603.3035278195716
26,1601.066023105335
27,1598.7250335966364
28,1596.2932129680064
29,1593.7814917017868
30,1591.1993583019034
31,1588.5550872098484
32,1585.8559248464858
33,1583.108242488163
34,1580.31766267553
35,1577.4891643507076
36,1574.6271707846138
37,1571.7356234934118
38,1568.818044681047
39,1565.877590233095
40,1562.917094888665
41,1559.9391109047
42,1556.9459412805538
43,1553.9396684150195
44,1550.9221789117787
45,1547.895185123772
46,1544.8602439257518
47,1541.8187731221574
48,1538.772065830507
49,1535.7213031257013
50,1532.6675651855603
51,1529.6118411406994
52,1526.5550378010007
53,1523.4979874052376
54,1520.4414545189816
55,1517.3861421879144
56,1514.3326974385593
57,1511.2817162056685
58,1508.2337477546973
59,1505.1892986586308
60,1502.1488363805897
61,1499.1127925069995
62,1496.0815656703578
63,1493.0555241957547
64,1490.0350085010575
65,1487.0203332770382
66,1484.011789470558
67,1481.0096460912
68,1478.0141518593605
69,1475.0255367117306
70,1472.0440131783234
71,1469.0697776435857
72,1466.1030115027834
73,1463.1438822236162
74,1460.1925443219561
75,1457.2491402596652
76,1454.3138012716124
77,1451.3866481282837
78,1448.4677918397206
79,1445.5573343059507
80,1442.6553689185653
81,1439.7619811176296
82,1436.8772489077285
83,1434.001243336558
84,1431.1340289391778
85,1428.2756641507324
86,1425.4262016901928
87,1422.5856889174402
88,1419.754168165803
89,1416.9316770519674
90,1414.1182487650144
91,1411.3139123361807
92,1408.518692890812
93,1405.7326118838323
94,1402.9556873199654
95,1400.1879339598208
96,1397.4293635128752
97,1394.6799848182936
98,1391.9398040144558
99,1389.2088246979877
100,1386.4870480730287
101,1383.774473091413
102,1381.07109658439
103,1378.3769133864548
104,1375.6919164518229
105,1373.016096964041
106,1370.3494444391847
107,1367.6919468230667
108,1365.0435905828394
109,1362.4043607933634
110,1359.7742412186622
111,1357.1532143887869
112,1354.5412616723713
113,1351.9383633451469
114,1349.3444986546704
115,1346.759645881495
116,1344.1837823969972
117,1341.6168847180652
118,1339.0589285588362
119,1336.5098888796565
120,1333.9697399334284
121,1331.438455309496
122,1328.916007975214
123,1326.4023703153325
124,1323.897514169323
125,1321.40141086676
126,1318.9140312608722
127,1316.4353457603609
128,1313.965324359588
129,1311.5039366672156
130,1309.0511519333897
131,1306.6069390755426
132,1304.1712667028914
133,1301.7441031396995
134,1299.3254164473726
135,1296.9151744454437
136,1294.5133447315138
137,1292.1198947001953
138,1289.7347915611167
139,1287.3580023560328
140,1284.9894939750864
141,1282.6292331722725
142,1280.2771865801321
143,1277.9333207237269
144,1275.5976020339249
145,1273.269996860034
146,1270.9504714818127
147,1268.6389921208927
148,1266.335524951642
149,1264.0400361114912
150,1261.7524917107553
151,1259.4728578419727
152,1257.2011005887834
